,machine,reward,num_actions,max_RUL
0,1,13,13,30
1,2,36,36,48
2,3,13,13,125
3,4,6,6,105
4,5,6,6,97
5,6,15,15,104
6,7,93,93,159
7,8,43,43,165
8,9,-432,54,54
9,10,37,37,191
10,11,61,61,82
11,12,18,18,216
12,13,5,5,194
13,14,-441,45,45
14,15,35,35,75
15,16,40,40,112
16,17,2,2,164
17,18,5,5,132
18,19,27,27,134
19,20,13,13,183
20,21,17,17,147
21,22,17,17,38
22,23,-357,129,129
23,24,36,36,185
24,25,9,9,47
25,26,43,43,75
26,27,93,93,139
27,28,7,7,157
28,29,57,57,170
29,30,8,8,142
30,31,24,24,195
31,32,37,37,144
32,33,1,1,49
33,34,5,5,202
34,35,7,7,197
35,36,39,39,125
36,37,8,8,120
37,38,17,17,124
38,39,12,12,36
39,40,72,72,132
40,41,27,27,122
41,42,24,24,155
42,43,23,23,171
43,44,26,26,53
44,45,71,71,151
45,46,48,48,145
46,47,-414,72,72
47,48,61,61,77
48,49,3,3,302
49,50,28,28,73
50,51,42,42,143
51,52,79,79,188
52,53,42,42,163
53,54,92,92,120
54,55,18,18,112
55,56,71,71,135
56,57,94,94,159
57,58,21,21,175
58,59,12,12,93
59,60,28,28,146
60,61,119,119,158
61,62,2,2,231
62,63,39,39,154
63,64,142,142,167
64,65,5,5,70
65,66,34,34,146
66,67,-416,70,70
67,68,35,35,186
68,69,39,39,53
69,70,31,31,151
70,71,-419,67,67
71,72,80,80,130
72,73,18,18,111
73,74,4,4,136
74,75,1,1,87
75,76,112,112,204
76,77,39,39,161
77,78,37,37,71
78,79,14,14,100
79,80,34,34,132
80,81,1,1,212
81,82,-325,161,161
82,83,17,17,72
83,84,6,6,171
84,85,3,3,33
85,86,49,49,109
86,87,40,40,55
87,88,47,47,67
88,89,-310,176,176
89,90,16,16,145
90,91,4,4,233
91,92,81,81,149
92,93,20,20,243
93,94,83,83,132
94,95,50,50,88
95,96,40,40,96
96,97,4,4,133
97,98,4,4,120
98,99,10,10,96
99,100,20,20,197
100,101,7,7,257
101,102,51,51,54
102,103,33,33,164
103,104,65,65,85
104,105,13,13,147
105,106,17,17,62
106,107,35,35,183
107,108,63,63,172
108,109,45,45,160
109,110,41,41,83
110,111,73,73,161
111,112,-413,73,73
112,113,2,2,163
113,114,32,32,159
114,115,11,11,164
115,116,86,86,87
116,117,95,95,263
