#{"t_start": 1644504719.638805, "env_id": null}
r,l,t
-198,3,5.279063
-200,1,5.28412
-200,1,5.289449
-199,2,5.294768
-200,1,5.300474
-200,1,5.30311
-200,1,5.305426
-200,1,5.311546
-200,1,5.315312
-200,1,5.318157
-200,1,5.320379
-200,1,5.322549
-200,1,5.33047
-198,3,5.337782
-199,2,5.341578
-200,1,5.343897
-200,1,5.353772
-199,2,5.362221
-200,1,5.482016
-199,2,5.485855
-200,1,5.499982
-198,3,5.515415
-198,3,5.524209
-198,3,5.531427
-199,2,5.544943
-197,4,5.552543
-199,2,5.556317
-200,1,5.561082
-199,2,5.583084
-199,2,5.593862
-200,1,5.643457
-199,2,5.685864
-200,1,5.689728
-200,1,5.692836
-200,1,5.695862
-198,3,5.700696
-199,2,5.712743
-200,1,5.715405
-200,1,5.718574
-200,1,5.720396
-199,2,5.725556
-199,2,5.733064
-200,1,5.735189
-199,2,5.739144
-200,1,5.743483
-193,8,5.752383
-200,1,5.770245
-200,1,5.782832
-200,1,5.815765
-198,3,5.820979
-200,1,5.824945
-200,1,5.83904
-197,4,5.856364
-199,2,5.860656
-194,7,5.874325
-200,1,5.87667
-200,1,5.885281
-200,1,5.890759
-200,1,5.892558
-196,5,5.906383
-199,2,5.924145
-200,1,5.928884
-200,1,5.93455
-198,3,5.944783
-198,3,5.958295
-200,1,5.966001
-200,1,5.972138
-200,1,5.974942
-199,2,6.021703
-199,2,6.026535
-199,2,6.031941
-198,3,6.053152
-196,5,6.12555
-200,1,6.140497
-199,2,6.151338
-199,2,6.155454
-200,1,6.16223
-199,2,6.174681
-198,3,6.188065
-200,1,6.192735
-200,1,6.204021
-200,1,6.207698
-198,3,6.214215
-200,1,6.225105
-200,1,6.239067
-198,3,6.25402
-195,6,6.269156
-199,2,6.273286
-197,4,6.288577
-199,2,6.293613
-200,1,6.295487
-196,5,6.314601
-200,1,6.32459
-197,4,6.335702
-198,3,6.343424
-198,3,6.352475
-198,3,6.370015
-200,1,6.373264
-199,2,6.38301
-200,1,6.389748
-197,4,6.399866
-196,5,6.409124
-200,1,6.413523
-198,3,6.422619
-195,6,6.44577
-198,3,6.456011
-200,1,6.458754
-198,3,6.468783
-200,1,6.477538
-198,3,6.491198
-200,1,6.496188
-199,2,6.504612
-200,1,6.509715
-198,3,6.534243
-199,2,6.709699
-200,1,6.731827
-198,3,6.758927
-198,3,6.774398
-200,1,6.778686
-196,5,6.809579
-199,2,6.826291
-198,3,6.845526
-200,1,6.911957
-200,1,6.928615
-198,3,6.951794
-195,6,7.068013
-194,7,7.093429
-198,3,7.102291
-199,2,7.110466
-200,1,7.118967
-200,1,7.134542
-200,1,7.142811
-196,5,7.156993
-198,3,7.32642
-197,4,7.340612
-200,1,7.345096
-197,4,7.356832
-200,1,7.362497
-198,3,7.370811
-198,3,7.382897
-200,1,7.39086
-196,5,7.406673
-200,1,7.416441
-200,1,7.422464
-200,1,7.426108
-198,3,7.434205
-199,2,7.459978
-199,2,7.463663
-200,1,7.509219
-199,2,7.512237
-198,3,7.515867
-200,1,7.520743
-198,3,7.528088
-194,7,7.543014
-199,2,7.553953
-200,1,7.557766
-196,5,7.564072
-200,1,7.565873
-200,1,7.573483
-199,2,7.576276
-199,2,7.593324
-200,1,7.598684
-198,3,7.614766
-200,1,7.619971
-200,1,7.622455
-200,1,7.624733
-199,2,7.631769
-199,2,7.663225
-199,2,7.667082
-200,1,7.675132
-200,1,7.678957
-200,1,7.681897
-200,1,7.692102
-199,2,7.700622
-200,1,7.706713
-198,3,7.715006
-200,1,7.728667
-200,1,7.743566
-199,2,7.764358
-199,2,7.773181
-200,1,7.776606
-199,2,7.782378
-199,2,7.789838
-199,2,7.805593
-200,1,7.810554
-200,1,7.812431
-196,5,7.891634
-199,2,7.894302
-200,1,7.896791
-199,2,7.906141
-200,1,7.916082
-200,1,7.943129
-197,4,7.952338
-199,2,7.961247
-199,2,7.969563
-199,2,7.990526
-200,1,7.99433
-200,1,8.003033
-200,1,8.014701
-200,1,8.020981
-200,1,8.023771
-200,1,8.029283
-200,1,8.032509
-199,2,8.036543
-200,1,8.058667
-200,1,8.064567
-200,1,8.071005
-198,3,8.082556
-200,1,8.085183
-195,6,8.094251
-196,5,8.108397
-199,2,8.111746
-200,1,8.114971
-199,2,8.118843
-198,3,8.125599
-200,1,8.12814
-199,2,8.135008
-200,1,8.139693
-198,3,8.143879
-199,2,8.147312
-200,1,8.151271
-200,1,8.153974
-200,1,8.158495
-199,2,8.162667
-196,5,8.175745
-196,5,8.181122
-200,1,8.18343
-199,2,8.187699
-200,1,8.192669
-200,1,8.19571
-200,1,8.199438
-199,2,8.202639
-198,3,8.212093
-200,1,8.214611
-199,2,8.219086
-200,1,8.222012
-198,3,8.231125
-199,2,8.274465
-198,3,8.280882
-200,1,8.283756
-200,1,8.286142
-199,2,8.295687
-200,1,8.298549
-200,1,8.301229
-199,2,8.324656
-200,1,8.328539
-199,2,8.343594
-200,1,8.345468
-198,3,8.351293
-195,6,8.359471
-199,2,8.362027
-200,1,8.363643
-199,2,8.373706
-199,2,8.37941
-200,1,8.382018
-197,4,8.388932
-200,1,8.394119
-200,1,8.396747
-198,3,8.40378
-199,2,8.409817
-200,1,8.423404
-200,1,8.428784
-199,2,8.432326
-198,3,8.439569
-197,4,8.46523
-200,1,8.46788
-200,1,8.473482
-197,4,8.480422
-198,3,8.498494
-197,4,8.510917
-198,3,8.527197
-198,3,8.531529
-200,1,8.535004
-200,1,8.541105
-197,4,8.549017
-200,1,8.551209
-197,4,8.561748
-198,3,8.572656
-200,1,8.574482
-200,1,8.57656
-200,1,8.590154
-200,1,8.595575
-200,1,8.599861
-197,4,8.607572
-200,1,8.612784
-200,1,8.617529
-200,1,8.620256
-200,1,8.623493
-198,3,8.631782
-200,1,8.635559
-200,1,8.638498
-193,8,8.651727
-198,3,8.674112
-200,1,8.676418
-200,1,8.67877
-200,1,8.680463
-197,4,8.687383
-200,1,8.690928
-197,4,8.700452
-200,1,8.702934
-199,2,8.709735
-195,6,8.717578
-197,4,8.725143
-200,1,8.73151
-200,1,8.741749
-200,1,8.74929
-200,1,8.751593
-200,1,8.753752
-199,2,8.77412
-200,1,8.77867
-198,3,8.786754
-200,1,8.789284
-200,1,8.794626
-200,1,8.812253
-200,1,8.823921
-200,1,8.830524
-197,4,8.836635
-200,1,8.840248
-199,2,8.855892
-200,1,8.862168
-198,3,8.880999
-197,4,8.889125
-199,2,8.892195
-200,1,8.893917
-197,4,8.929403
-200,1,8.932898
-200,1,8.935318
-200,1,8.937063
-200,1,8.939738
-198,3,8.949847
-200,1,8.9516
-200,1,8.953354
-197,4,8.970259
-200,1,8.972304
-200,1,8.974067
-200,1,8.977677
-200,1,8.986684
-200,1,8.98951
-197,4,8.996833
-197,4,9.003164
-199,2,9.013346
-199,2,9.016278
-199,2,9.019986
-200,1,9.021946
-200,1,9.038008
-200,1,9.048394
-200,1,9.05118
-199,2,9.054649
-199,2,9.066175
-200,1,9.069702
-199,2,9.074887
-198,3,9.082472
-199,2,9.090989
-199,2,9.096423
-200,1,9.099365
-200,1,9.103152
-199,2,9.121745
-200,1,9.125766
-200,1,9.129711
-199,2,9.135694
-200,1,9.148871
-199,2,9.154157
-199,2,9.156853
-200,1,9.159247
-199,2,9.171648
-199,2,9.178097
-197,4,9.183537
-198,3,9.19501
-200,1,9.197662
-200,1,9.201671
-198,3,9.206915
-200,1,9.213059
-196,5,9.239727
-200,1,9.26633
-200,1,9.270597
-199,2,9.272883
-199,2,9.279545
-200,1,9.284583
-198,3,9.288873
-199,2,9.291751
-199,2,9.306332
-200,1,9.312312
-197,4,9.333874
-198,3,9.337637
-197,4,9.349242
-196,5,9.354048
-200,1,9.356202
-199,2,9.366686
-197,4,9.372213
-200,1,9.374078
-199,2,9.382795
-200,1,9.385184
-200,1,9.389503
-200,1,9.410398
-197,4,9.420808
-200,1,9.432644
-200,1,9.436155
-200,1,9.438968
-198,3,9.450514
-200,1,9.454253
-200,1,9.459686
-198,3,9.475927
-200,1,9.483984
-200,1,9.486804
-200,1,9.491698
-200,1,9.49561
-196,5,9.502508
-200,1,9.505389
-200,1,9.514755
-199,2,9.521935
-198,3,9.525201
-199,2,9.527795
-200,1,9.532023
-199,2,9.535377
-200,1,9.539292
-199,2,9.54329
-197,4,9.55046
-198,3,9.554265
-200,1,9.55702
-197,4,9.566642
-200,1,9.571933
-200,1,9.574324
-199,2,9.577526
-198,3,9.581536
-200,1,9.590047
-200,1,9.592322
-199,2,9.596196
-200,1,9.600271
-200,1,9.605209
-200,1,9.622616
-200,1,9.626606
-199,2,9.643298
-200,1,9.654427
-199,2,9.664119
-200,1,9.671047
-200,1,9.68327
-198,3,9.688976
-199,2,9.696253
-198,3,9.7038
-199,2,9.715041
-197,4,9.723578
-200,1,9.725477
-199,2,9.736839
-200,1,9.739636
-200,1,9.751359
-200,1,9.754115
-200,1,9.758059
-197,4,9.762466
-197,4,9.783055
-200,1,9.785905
-200,1,9.787664
-200,1,9.790482
-200,1,9.805894
-200,1,9.811611
-200,1,9.814984
-200,1,9.82154
-200,1,9.838731
-198,3,9.844436
-198,3,9.874995
-199,2,9.883063
-200,1,9.886925
-197,4,9.891756
-200,1,9.89471
-198,3,9.907694
-198,3,9.922478
-198,3,9.92847
-199,2,9.931806
-196,5,9.936658
-200,1,9.944901
-198,3,9.949408
-197,4,9.957949
-200,1,9.960037
-193,8,9.975082
-200,1,9.976917
-196,5,9.982485
-198,3,9.985807
-200,1,9.989811
-200,1,9.99241
-200,1,9.994534
-200,1,9.996777
-200,1,9.999781
-200,1,10.002085
-200,1,10.004221
-199,2,10.008097
-200,1,10.023982
-200,1,10.026299
-195,6,10.034044
-200,1,10.039491
-200,1,10.050833
-199,2,10.068937
-198,3,10.073952
-199,2,10.080923
-199,2,10.099711
-199,2,10.104185
-200,1,10.124003
-200,1,10.126137
-200,1,10.129442
-199,2,10.136978
-199,2,10.14005
-200,1,10.141657
-199,2,10.155125
-200,1,10.157931
-198,3,10.161551
-200,1,10.165184
-200,1,10.177823
-197,4,10.185045
-199,2,10.189261
-198,3,10.206664
-200,1,10.210772
-198,3,10.214956
-200,1,10.22086
-197,4,10.234929
-199,2,10.261327
-200,1,10.270114
-196,5,10.276554
-200,1,10.289791
-197,4,10.295019
-200,1,10.299711
-200,1,10.306258
-199,2,10.309999
-200,1,10.312802
-200,1,10.341834
-200,1,10.343865
-198,3,10.350474
-200,1,10.354389
-200,1,10.358594
-196,5,10.363538
-197,4,10.37034
-200,1,10.375131
-198,3,10.3807
-199,2,10.384949
-200,1,10.387234
-198,3,10.392886
-199,2,10.39614
-200,1,10.401469
-200,1,10.403831
-200,1,10.409392
-199,2,10.413053
-199,2,10.415983
-198,3,10.420992
-200,1,10.425212
-198,3,10.431639
-197,4,10.438725
-200,1,10.440905
-199,2,10.470359
-200,1,10.475198
-200,1,10.478043
-200,1,10.480383
-194,7,10.499521
-199,2,10.50601
-200,1,10.509485
-199,2,10.512489
-196,5,10.544726
-200,1,10.551806
-199,2,10.554506
-200,1,10.556349
-200,1,10.559302
-195,6,10.594363
-200,1,10.596219
-198,3,10.605302
-200,1,10.608863
-200,1,10.612582
-200,1,10.620513
-199,2,10.636244
-200,1,10.640569
-197,4,10.678975
-199,2,10.683265
-200,1,10.688638
-200,1,10.69173
-198,3,10.704251
-199,2,10.72057
-199,2,10.724844
-200,1,10.727829
-200,1,10.735669
-197,4,10.742236
-196,5,10.757096
-198,3,10.76137
-200,1,10.767926
-200,1,10.770981
-199,2,10.773394
-196,5,10.791781
-198,3,10.796804
-200,1,10.802884
-197,4,10.815288
-200,1,10.820815
-198,3,10.82986
-200,1,10.836329
-198,3,10.846385
-200,1,10.860007
-199,2,10.872877
-200,1,10.883781
-200,1,10.889533
-200,1,10.892294
-200,1,10.894144
-200,1,10.903735
-200,1,10.906348
-200,1,10.923243
-200,1,10.927122
-200,1,10.930662
-200,1,10.935207
-200,1,10.940094
-200,1,10.953634
-197,4,10.965875
-200,1,10.968464
-200,1,10.97092
-198,3,10.977337
-200,1,10.979478
-200,1,10.982414
-196,5,11.01305
-198,3,11.03426
-200,1,11.037382
-199,2,11.040438
-199,2,11.043414
-200,1,11.071889
-198,3,11.082909
-200,1,11.085613
-193,8,11.095892
-200,1,11.105019
-200,1,11.1067
-200,1,11.109397
-200,1,11.112448
-200,1,11.126275
-199,2,11.140085
-198,3,11.143363
-197,4,11.154514
-200,1,11.156449
-200,1,11.158691
-199,2,11.162514
-199,2,11.176068
-200,1,11.178081
-200,1,11.184433
-197,4,11.190633
-200,1,11.194194
-200,1,11.207074
-200,1,11.210734
-200,1,11.222565
-199,2,11.226111
-196,5,11.239237
-197,4,11.242993
-200,1,11.244971
-200,1,11.27269
-200,1,11.278459
-195,6,11.286717
-200,1,11.295401
-200,1,11.306549
-200,1,11.311507
-199,2,11.315139
-200,1,11.31822
-200,1,11.32302
-198,3,11.337602
-198,3,11.346658
-198,3,11.351728
-199,2,11.356225
-200,1,11.360414
-200,1,11.362882
-200,1,11.365105
-199,2,11.370367
-200,1,11.372794
-198,3,11.377081
-199,2,11.381324
-197,4,11.392566
-198,3,11.398542
-197,4,11.405443
-199,2,11.409337
-200,1,11.413043
-199,2,11.417498
-195,6,11.425812
-198,3,11.43032
-199,2,11.435428
-200,1,11.437462
-200,1,11.439798
-200,1,11.442662
-200,1,11.459343
-200,1,11.461432
-198,3,11.468082
-199,2,11.47242
-198,3,11.482517
-193,8,11.513428
-199,2,11.516211
-199,2,11.521426
-197,4,11.5265
-199,2,11.529886
-198,3,11.535902
-199,2,11.540544
-199,2,11.544354
-198,3,11.558038
-200,1,11.561882
-200,1,11.563801
-200,1,11.567167
-200,1,11.572174
-200,1,11.575089
-198,3,11.593413
-200,1,11.597571
-200,1,11.603074
-200,1,11.605655
-197,4,11.610053
-200,1,11.612456
-199,2,11.616563
-199,2,11.622391
-200,1,11.62483
-200,1,11.628826
-199,2,11.632242
-198,3,11.638939
-197,4,11.643984
-200,1,11.670812
-197,4,11.677923
-197,4,11.682819
-193,8,11.694863
-196,5,11.705964
-197,4,11.712009
-200,1,11.713742
-200,1,11.715463
-200,1,11.720178
-200,1,11.722719
-198,3,11.72755
-197,4,11.738903
-200,1,11.751038
-198,3,11.757272
-200,1,11.75939
-196,5,11.774091
-200,1,11.77693
-200,1,11.779527
-196,5,11.788024
-200,1,11.792417
-196,5,11.802335
-200,1,11.806325
-200,1,11.813596
-200,1,11.815903
-194,7,11.855126
-200,1,11.876814
-194,7,11.885197
-200,1,11.88943
-199,2,11.892905
-198,3,11.901212
-200,1,11.904098
-200,1,11.90574
-199,2,11.911119
-200,1,11.927733
-200,1,11.941192
-199,2,11.94409
-200,1,11.948922
-200,1,11.950762
-199,2,11.954933
-200,1,11.956537
-200,1,11.959066
-200,1,11.960946
-195,6,11.97907
-197,4,11.998283
-199,2,12.00924
-199,2,12.01257
-200,1,12.024844
-200,1,12.038625
-200,1,12.042356
-194,7,12.079091
-200,1,12.081637
-199,2,12.084266
-199,2,12.088073
-200,1,12.09238
-200,1,12.095009
-200,1,12.097582
-199,2,12.104522
-200,1,12.108705
-199,2,12.112622
-200,1,12.114767
-200,1,12.121638
-200,1,12.12447
-196,5,12.131552
-199,2,12.136795
-200,1,12.141001
-199,2,12.14443
-199,2,12.147578
-199,2,12.150317
-199,2,12.157986
-200,1,12.160519
-198,3,12.165707
-197,4,12.171876
-194,7,12.191512
-200,1,12.198249
-200,1,12.201917
-194,7,12.21272
-198,3,12.22242
-197,4,12.230205
-200,1,12.231886
-199,2,12.242731
-198,3,12.274493
-200,1,12.279045
-198,3,12.283527
-196,5,12.307885
-197,4,12.312905
-200,1,12.317947
-199,2,12.325351
-196,5,12.3441
-198,3,12.351262
-200,1,12.354351
-200,1,12.356355
-199,2,12.359869
-199,2,12.375921
-200,1,12.394822
-199,2,12.399816
-199,2,12.405683
-200,1,12.408913
-200,1,12.412073
-200,1,12.414767
-197,4,12.419405
-200,1,12.423172
-198,3,12.439549
-197,4,12.450071
-197,4,12.462368
-200,1,12.469268
-200,1,12.477968
-200,1,12.481184
-199,2,12.484569
-198,3,12.504438
-200,1,12.506219
-200,1,12.508149
-197,4,12.512818
-197,4,12.536699
-200,1,12.540757
-200,1,12.542529
-200,1,12.544357
-200,1,12.551113
-200,1,12.576717
-197,4,12.594326
-194,7,12.605587
-200,1,12.608519
-200,1,12.61075
-199,2,12.619548
-200,1,12.621995
-200,1,12.629939
-200,1,12.641675
-200,1,12.644229
-199,2,12.669332
-199,2,12.67391
-199,2,12.683253
-197,4,12.694172
-199,2,12.709752
-200,1,12.712406
-198,3,12.719984
-199,2,12.722489
-200,1,12.724251
-197,4,12.742941
-200,1,12.745763
-198,3,12.755644
-198,3,12.759021
-199,2,12.762171
-200,1,12.764506
-199,2,12.770052
-200,1,12.772305
-200,1,12.777027
-200,1,12.78009
-196,5,12.791308
-200,1,12.794773
-200,1,12.798543
-199,2,12.802769
-200,1,12.806545
-200,1,12.823307
-199,2,12.830337
-199,2,12.840457
-200,1,12.865931
-200,1,12.870387
-199,2,12.874914
-198,3,12.885005
-200,1,12.886835
-200,1,12.892827
-199,2,12.909563
-197,4,12.913436
-198,3,12.921271
-197,4,12.935642
-199,2,12.940185
-200,1,12.945407
-199,2,12.949589
-200,1,12.951233
-198,3,12.956028
-200,1,12.964041
-198,3,12.96989
-199,2,12.975221
-199,2,12.981073
-199,2,12.986323
-200,1,12.999087
-200,1,13.010042
-198,3,13.024756
-200,1,13.02678
-199,2,13.030972
-199,2,13.043552
-199,2,13.048244
-196,5,13.054709
-200,1,13.069648
-199,2,13.081633
-198,3,13.086617
-198,3,13.090781
-199,2,13.094469
-200,1,13.09686
-200,1,13.10316
-200,1,13.10575
-199,2,13.112771
-199,2,13.116097
-200,1,13.129093
-200,1,13.131731
-200,1,13.133907
-200,1,13.142392
-200,1,13.147789
-200,1,13.150289
-198,3,13.155509
-198,3,13.162381
-200,1,13.167147
-197,4,13.173324
-200,1,13.176893
-199,2,13.180486
-200,1,13.184834
-199,2,13.190638
-200,1,13.193636
-197,4,13.200552
-200,1,13.211741
-199,2,13.21501
-200,1,13.217828
-200,1,13.223242
-198,3,13.234681
-200,1,13.246034
-199,2,13.250815
-197,4,13.259821
-200,1,13.265053
-196,5,13.290503
-199,2,13.300833
-200,1,13.304074
-200,1,13.309614
-200,1,13.312413
-198,3,13.326749
-191,10,13.342454
-197,4,13.349025
-200,1,13.350798
-198,3,13.356145
-200,1,13.358802
-199,2,13.362115
-199,2,13.365534
-200,1,13.368699
-200,1,13.371136
-197,4,13.380147
-199,2,13.38424
-198,3,13.390762
-200,1,13.39474
-197,4,13.403725
-194,7,13.413168
-200,1,13.415633
-198,3,13.421088
-198,3,13.426869
-200,1,13.429408
-200,1,13.431629
-199,2,13.435793
-200,1,13.442369
-199,2,13.447044
-200,1,13.450903
-200,1,13.453699
-199,2,13.466025
-200,1,13.468371
-200,1,13.470935
-200,1,13.474003
-200,1,13.478367
-200,1,13.480837
-200,1,13.483057
-200,1,13.484974
-200,1,13.512174
-200,1,13.522587
-199,2,13.539571
-200,1,13.541679
-200,1,13.54405
-200,1,13.548834
-200,1,13.552207
-198,3,13.555306
-199,2,13.559651
-200,1,13.570201
-200,1,13.572265
-200,1,13.57523
-197,4,13.592523
-198,3,13.599847
-198,3,13.612327
-200,1,13.614234
-199,2,13.617388
-196,5,13.622714
-200,1,13.624825
-199,2,13.628643
-199,2,13.633108
-199,2,13.636017
-198,3,13.640476
-198,3,13.644639
-199,2,13.655476
-198,3,13.666486
-200,1,13.669272
-200,1,13.671051
-200,1,13.686
-200,1,13.690397
-200,1,13.692961
-198,3,13.69949
-200,1,13.708953
-199,2,13.712124
-199,2,13.71851
-198,3,13.723087
-198,3,13.728461
-200,1,13.73149
-200,1,13.734214
-198,3,13.740558
-196,5,13.757136
-200,1,13.759709
-198,3,13.766757
-199,2,13.771388
-199,2,13.785002
-199,2,13.790415
-199,2,13.793235
-195,6,13.801963
-199,2,13.816272
-200,1,13.822603
-195,6,13.834856
-199,2,13.843579
-198,3,13.850126
-200,1,13.853618
-200,1,13.856536
-200,1,13.859659
-199,2,13.864149
-200,1,13.867967
-200,1,13.870714
-200,1,13.872889
-200,1,13.879536
-200,1,13.885484
-198,3,13.892759
-198,3,13.898187
-200,1,13.907794
-197,4,13.913175
-200,1,13.91692
-200,1,13.920578
-199,2,13.928014
-200,1,13.93231
-200,1,13.936378
-199,2,13.940757
-200,1,13.946779
-199,2,13.951402
-200,1,13.955597
-197,4,13.961647
-200,1,13.966294
-200,1,13.97121
-200,1,13.973253
-195,6,13.98232
-200,1,14.00888
-198,3,14.028514
-194,7,14.056884
-200,1,14.060271
-199,2,14.072229
-199,2,14.077607
-199,2,14.080775
-200,1,14.084827
-199,2,14.107688
-199,2,14.110934
-200,1,14.113595
-200,1,14.122674
-200,1,14.135387
-199,2,14.150066
-194,7,14.169024
-196,5,14.173726
-200,1,14.176016
-200,1,14.178008
-199,2,14.185242
-200,1,14.187462
-200,1,14.190498
-200,1,14.19232
-200,1,14.193926
-200,1,14.213333
-199,2,14.225749
-199,2,14.241939
-199,2,14.245333
-199,2,14.261136
-198,3,14.274922
-200,1,14.276745
-199,2,14.285892
-200,1,14.290008
-198,3,14.296834
-198,3,14.312186
-200,1,14.316417
-196,5,14.326897
-196,5,14.338986
-200,1,14.341812
-200,1,14.343583
-199,2,14.35028
-200,1,14.360403
-198,3,14.367007
-200,1,14.371447
-200,1,14.373702
-200,1,14.377498
-200,1,14.380097
-196,5,14.390365
-198,3,14.39552
-200,1,14.400653
-200,1,14.404149
-200,1,14.406435
-200,1,14.409525
-200,1,14.412272
-199,2,14.417896
-200,1,14.421351
-200,1,14.423391
-197,4,14.437691
-198,3,14.443672
-200,1,14.44693
-200,1,14.453335
-200,1,14.471044
-200,1,14.474056
-199,2,14.4768
-198,3,14.4855
-199,2,14.512982
-200,1,14.515135
-200,1,14.523691
-200,1,14.530538
-200,1,14.538112
-200,1,14.540517
-200,1,14.543833
-200,1,14.546004
-200,1,14.554129
-199,2,14.566183
-200,1,14.570853
-200,1,14.578001
-199,2,14.583266
-200,1,14.585289
-199,2,14.591386
-199,2,14.594096
-199,2,14.59781
-192,9,14.620596
-199,2,14.624877
-197,4,14.629882
-198,3,14.639025
-199,2,14.646412
-200,1,14.653883
-200,1,14.658762
-200,1,14.662784
-200,1,14.675777
-200,1,14.67844
-197,4,14.704784
-198,3,14.719355
-200,1,14.724443
-195,6,14.733358
-199,2,14.740689
-199,2,14.746703
-198,3,14.754177
-199,2,14.758425
-200,1,14.761013
-200,1,14.764418
-199,2,14.769531
-199,2,14.773377
