#{"t_start": 1644588382.388593, "env_id": null}
r,l,t
-200,1,0.041174
-200,1,0.046567
-199,2,0.055273
-200,1,0.061852
-200,1,0.0711
-200,1,0.079574
-200,1,0.084697
-200,1,0.088785
-200,1,0.094172
-199,2,0.106018
-200,1,0.1102
-200,1,0.113307
-200,1,0.116562
-198,3,0.123331
-197,4,0.131235
-198,3,0.139267
-198,3,0.149728
-200,1,0.153837
-198,3,0.170751
-200,1,0.176024
-195,6,0.187086
-199,2,0.193478
-200,1,0.203785
-200,1,0.207071
-200,1,0.21038
-200,1,0.213492
-198,3,0.221869
-198,3,0.228873
-200,1,0.232511
-198,3,0.242545
-200,1,0.24842
-198,3,0.266034
-200,1,0.269303
-200,1,0.272475
-198,3,0.286708
-198,3,0.293664
-199,2,0.29952
-200,1,0.302539
-200,1,0.306744
-197,4,0.31628
-195,6,0.327313
-198,3,0.333576
-200,1,0.336429
-200,1,0.339295
-198,3,0.345178
-199,2,0.350119
-200,1,0.353127
-199,2,0.357606
-200,1,0.360647
-200,1,0.363879
-197,4,0.371529
-200,1,0.374787
-200,1,0.377846
-199,2,0.382694
-191,10,0.399619
-200,1,0.402563
-198,3,0.408636
-198,3,0.414804
-198,3,0.421148
-195,6,0.431513
-197,4,0.438934
-200,1,0.441784
-200,1,0.444885
-199,2,0.449267
-200,1,0.452096
-200,1,0.45504
-200,1,0.458195
-200,1,0.461018
-199,2,0.465531
-198,3,0.471574
-192,9,0.48632
-197,4,0.494633
-200,1,0.498061
-199,2,0.502429
-199,2,0.508692
-200,1,0.511589
-195,6,0.522373
-200,1,0.525465
-200,1,0.528337
-199,2,0.533219
-195,6,0.543473
-200,1,0.546335
-200,1,0.549242
-200,1,0.553124
-197,4,0.564792
-199,2,0.571755
-200,1,0.575468
-199,2,0.581945
-198,3,0.589489
-200,1,0.592824
-200,1,0.59659
-199,2,0.60402
-200,1,0.610256
-199,2,0.620258
-198,3,0.630512
-198,3,0.638814
-200,1,0.641732
-200,1,0.644583
-200,1,0.647485
-200,1,0.650372
-200,1,0.653199
-199,2,0.657749
-200,1,0.660798
-200,1,0.663765
-200,1,0.666662
-199,2,0.671229
-200,1,0.674138
-199,2,0.678507
-199,2,0.682864
-200,1,0.68569
-199,2,0.690254
-200,1,0.693244
-200,1,0.696242
-200,1,0.699161
-200,1,0.701999
-200,1,0.704898
-199,2,0.709462
-200,1,0.712334
-200,1,0.715265
-200,1,0.718338
-200,1,0.721432
-198,3,0.727258
-200,1,0.730383
-199,2,0.734714
-200,1,0.737709
-199,2,0.74209
-199,2,0.746427
-200,1,0.749336
-200,1,0.752176
-200,1,0.755005
-200,1,0.757873
-199,2,0.762521
-199,2,0.767086
-200,1,0.771659
-198,3,0.782122
-200,1,0.785585
-199,2,0.791455
-200,1,0.794892
-200,1,0.798727
-199,2,0.804006
-199,2,0.809318
-200,1,0.812717
-199,2,0.818812
-200,1,0.827635
-194,7,0.853303
-198,3,0.86165
-199,2,0.866735
-200,1,0.869782
-200,1,0.874374
-199,2,0.880157
-197,4,0.888491
-199,2,0.893706
-200,1,0.896561
-200,1,0.899662
-200,1,0.902734
-200,1,0.906455
-200,1,0.909659
-198,3,0.915621
-198,3,0.92248
-200,1,0.925959
-200,1,0.929069
-200,1,0.93216
-199,2,0.93682
-197,4,0.945425
-199,2,0.950179
-198,3,0.957004
-200,1,0.960184
-200,1,0.96321
-200,1,0.966229
-199,2,0.971586
-195,6,0.983198
-199,2,0.987842
-199,2,0.993367
-200,1,0.996251
-199,2,1.001163
-192,9,1.017672
-200,1,1.021964
-199,2,1.027525
-198,3,1.034224
-200,1,1.037259
-200,1,1.041467
-200,1,1.044544
-200,1,1.047555
-198,3,1.053883
-200,1,1.05762
-199,2,1.06243
-197,4,1.070441
-200,1,1.074351
-200,1,1.077353
-200,1,1.080247
-200,1,1.083172
-199,2,1.087719
-200,1,1.090649
-197,4,1.098151
-199,2,1.102967
-199,2,1.107589
-199,2,1.112552
-198,3,1.118401
-199,2,1.125374
-200,1,1.13152
-200,1,1.137095
-200,1,1.150103
-199,2,1.15666
-200,1,1.165336
-200,1,1.171916
-200,1,1.175105
-200,1,1.17893
-200,1,1.182753
-200,1,1.186031
-200,1,1.189231
-199,2,1.194401
-197,4,1.203268
-195,6,1.214189
-199,2,1.218538
-198,3,1.225737
-197,4,1.235021
-200,1,1.238149
-196,5,1.249059
-199,2,1.253898
-199,2,1.258295
-200,1,1.261138
-200,1,1.264084
-198,3,1.269972
-197,4,1.277801
-197,4,1.285023
-200,1,1.287867
-200,1,1.290821
-200,1,1.293687
-196,5,1.3028
-200,1,1.305637
-200,1,1.308496
-197,4,1.315752
-200,1,1.318574
-200,1,1.321428
-200,1,1.324298
-199,2,1.328961
-193,8,1.343813
-200,1,1.346724
-199,2,1.351292
-200,1,1.354161
-199,2,1.358506
-198,3,1.364494
-196,5,1.373176
-200,1,1.376352
-195,6,1.387398
-198,3,1.393301
-199,2,1.397872
-199,2,1.402311
-200,1,1.405167
-199,2,1.409818
-199,2,1.414178
-199,2,1.418483
-199,2,1.422865
-199,2,1.427251
-198,3,1.43303
-199,2,1.437338
-199,2,1.44187
-199,2,1.446265
-199,2,1.450593
-200,1,1.45349
-199,2,1.457864
-199,2,1.462272
-197,4,1.469524
-199,2,1.475768
-196,5,1.489222
-199,2,1.494866
-197,4,1.504281
-200,1,1.509496
-200,1,1.512906
-200,1,1.517377
-199,2,1.526519
-200,1,1.534072
-200,1,1.543138
-200,1,1.546324
-200,1,1.549449
-199,2,1.554543
-199,2,1.563814
-200,1,1.571458
-200,1,1.574499
-199,2,1.579532
-195,6,1.591286
-199,2,1.595629
-198,3,1.602112
-199,2,1.606678
-199,2,1.611057
-198,3,1.617333
-200,1,1.620207
-197,4,1.627433
-198,3,1.633205
-198,3,1.6391
-200,1,1.641916
-199,2,1.646256
-196,5,1.655307
-199,2,1.659896
-199,2,1.664262
-200,1,1.667101
-200,1,1.669932
-198,3,1.675743
-198,3,1.681751
-200,1,1.68479
-200,1,1.687713
-199,2,1.692179
-200,1,1.695093
-198,3,1.700953
-199,2,1.705253
-200,1,1.708362
-195,6,1.718783
-199,2,1.723186
-199,2,1.72796
-196,5,1.739187
-197,4,1.746487
-199,2,1.750789
-198,3,1.756523
-198,3,1.762501
-199,2,1.76685
-198,3,1.773164
-198,3,1.779063
-200,1,1.78219
-200,1,1.786441
-200,1,1.791247
-200,1,1.796743
-200,1,1.80057
-200,1,1.803924
-200,1,1.808213
-200,1,1.817081
-199,2,1.829671
-200,1,1.833518
-200,1,1.836555
-195,6,1.854991
-200,1,1.858013
-200,1,1.860944
-200,1,1.864753
-200,1,1.868525
-200,1,1.871384
-197,4,1.878977
-198,3,1.885435
-199,2,1.889907
-199,2,1.89419
-200,1,1.897104
-200,1,1.899986
-200,1,1.902812
-196,5,1.911926
-198,3,1.917825
-198,3,1.923671
-200,1,1.926656
-196,5,1.935582
-199,2,1.939924
-199,2,1.944308
-200,1,1.947149
-198,3,1.952959
-199,2,1.95728
-198,3,1.963006
-198,3,1.968761
-200,1,1.971593
-200,1,1.974489
-200,1,1.977327
-200,1,1.980168
-200,1,1.982991
-195,6,1.9933
-191,10,2.009752
-198,3,2.015597
-199,2,2.019893
-197,4,2.027877
-200,1,2.030728
-199,2,2.035094
-199,2,2.03954
-200,1,2.042831
-200,1,2.045703
-200,1,2.048584
-197,4,2.056493
-195,6,2.066745
-200,1,2.069635
-199,2,2.07396
-200,1,2.076825
-200,1,2.080056
-200,1,2.082991
-200,1,2.08589
-200,1,2.088812
-199,2,2.093234
-196,5,2.102123
-200,1,2.105293
-199,2,2.109878
-198,3,2.115714
-198,3,2.121791
-200,1,2.12464
-199,2,2.129061
-198,3,2.134874
-200,1,2.137695
-199,2,2.142105
-196,5,2.15088
-198,3,2.156653
-199,2,2.160944
-200,1,2.16382
-199,2,2.168179
-200,1,2.171009
-200,1,2.174065
-200,1,2.176932
-198,3,2.182797
-196,5,2.192999
-199,2,2.197626
-200,1,2.200628
-198,3,2.206498
-199,2,2.210896
-198,3,2.216678
-200,1,2.219529
-200,1,2.222363
-200,1,2.225241
-199,2,2.229563
-194,7,2.241268
-199,2,2.245571
-200,1,2.248378
-199,2,2.25275
-200,1,2.255715
-199,2,2.26202
-199,2,2.267188
-199,2,2.272414
-200,1,2.275895
-200,1,2.279115
-200,1,2.283797
-200,1,2.287116
-200,1,2.290548
-200,1,2.294226
-200,1,2.297966
-200,1,2.301651
-200,1,2.304966
-199,2,2.311472
-200,1,2.319156
-200,1,2.329684
-198,3,2.33661
-200,1,2.339867
-200,1,2.343711
-200,1,2.352384
-199,2,2.35748
-199,2,2.361928
-199,2,2.36673
-199,2,2.37109
-200,1,2.374665
-199,2,2.380014
-197,4,2.388285
-200,1,2.391146
-200,1,2.394155
-198,3,2.400038
-199,2,2.404426
-200,1,2.40726
-200,1,2.410196
-199,2,2.414581
-198,3,2.421081
-200,1,2.424074
-199,2,2.428475
-200,1,2.43134
-200,1,2.434178
-199,2,2.438606
-200,1,2.441501
-200,1,2.444399
-200,1,2.447317
-200,1,2.450202
-200,1,2.453047
-199,2,2.457408
-198,3,2.463201
-199,2,2.467524
-198,3,2.473405
-199,2,2.478037
-200,1,2.480911
-200,1,2.483745
-200,1,2.48679
-199,2,2.491218
-199,2,2.496204
-200,1,2.49953
-200,1,2.502435
-199,2,2.5082
-197,4,2.515908
-195,6,2.526404
-199,2,2.530962
-200,1,2.533868
-195,6,2.544284
-200,1,2.547132
-200,1,2.549981
-199,2,2.554395
-199,2,2.55926
-200,1,2.562094
-200,1,2.565071
-200,1,2.56816
-200,1,2.571032
-200,1,2.573938
-200,1,2.576778
-199,2,2.581136
-199,2,2.585442
-198,3,2.591236
-200,1,2.594056
-199,2,2.598421
-197,4,2.606089
-200,1,2.608923
-199,2,2.613382
-199,2,2.617732
-199,2,2.622074
-197,4,2.629262
-197,4,2.636629
-197,4,2.643863
-200,1,2.64673
-199,2,2.651072
-200,1,2.653906
-200,1,2.65676
-199,2,2.661117
-200,1,2.663936
-199,2,2.668244
-199,2,2.672632
-196,5,2.681425
-199,2,2.685846
-200,1,2.688738
-200,1,2.691676
-200,1,2.694538
-198,3,2.700555
-200,1,2.703423
-200,1,2.706319
-200,1,2.709364
-200,1,2.712263
-200,1,2.715178
-200,1,2.718437
-198,3,2.724455
-200,1,2.727464
-196,5,2.73652
-199,2,2.740912
-199,2,2.745226
-200,1,2.748049
-196,5,2.756824
-196,5,2.765545
-199,2,2.769843
-199,2,2.774116
-200,1,2.776936
-199,2,2.78131
-200,1,2.78419
-197,4,2.795559
-197,4,2.805492
-198,3,2.816596
-200,1,2.82196
-200,1,2.827199
-200,1,2.832478
-200,1,2.839324
-198,3,2.85026
-199,2,2.857337
-198,3,2.868505
-198,3,2.883314
-200,1,2.88631
-197,4,2.897056
-200,1,2.903157
-198,3,2.911002
-200,1,2.913909
-200,1,2.916934
-199,2,2.921647
-200,1,2.924537
-200,1,2.927404
-198,3,2.933282
-198,3,2.939435
-200,1,2.942496
-200,1,2.94537
-200,1,2.94825
-197,4,2.955932
-200,1,2.958809
-198,3,2.964782
-200,1,2.967794
-200,1,2.970699
-200,1,2.973588
-199,2,2.9785
-200,1,2.981495
-198,3,2.987335
-198,3,2.993136
-198,3,2.999115
-200,1,3.001968
-198,3,3.007885
-200,1,3.010721
-200,1,3.013604
-196,5,3.022454
-200,1,3.025286
-199,2,3.029574
-200,1,3.032398
-200,1,3.035248
-200,1,3.038166
-200,1,3.041077
-200,1,3.044021
-199,2,3.048437
-200,1,3.051272
-200,1,3.054161
-200,1,3.057079
-200,1,3.059918
-198,3,3.065886
-197,4,3.073333
-200,1,3.076289
-199,2,3.08155
-200,1,3.085052
-199,2,3.089485
-199,2,3.09399
-200,1,3.09684
-200,1,3.099733
-198,3,3.105633
-199,2,3.110323
-200,1,3.11315
-200,1,3.116003
-200,1,3.118946
-200,1,3.121807
-199,2,3.126402
-200,1,3.129299
-200,1,3.132149
-200,1,3.134975
-200,1,3.137938
-199,2,3.142347
-200,1,3.145225
-197,4,3.152736
-199,2,3.157079
-197,4,3.164433
-200,1,3.167291
-200,1,3.170188
-199,2,3.174534
-195,6,3.185243
-200,1,3.188354
-200,1,3.191299
-200,1,3.194879
-199,2,3.19976
-200,1,3.202651
-199,2,3.207022
-196,5,3.215944
-200,1,3.218835
-200,1,3.221822
-200,1,3.22473
-197,4,3.232267
-200,1,3.235119
-199,2,3.239586
-198,3,3.245382
-199,2,3.249711
-199,2,3.254049
-197,4,3.261254
-197,4,3.268614
-197,4,3.275908
-199,2,3.280695
-197,4,3.288834
-200,1,3.293376
-193,8,3.310656
-198,3,3.318046
-200,1,3.321616
-198,3,3.328932
-200,1,3.332498
-198,3,3.339471
-200,1,3.343336
-197,4,3.357043
-198,3,3.371305
-199,2,3.376281
-200,1,3.380165
-200,1,3.38316
-200,1,3.386089
-197,4,3.393491
-200,1,3.396372
-200,1,3.399368
-197,4,3.406975
-195,6,3.421618
-200,1,3.424831
-197,4,3.432199
-196,5,3.441121
-197,4,3.448493
-200,1,3.451322
-193,8,3.46475
-199,2,3.469082
-198,3,3.475182
-199,2,3.479542
-198,3,3.485626
-199,2,3.490137
-200,1,3.493028
-200,1,3.49595
-200,1,3.498836
-199,2,3.503207
-200,1,3.506055
-200,1,3.509111
-200,1,3.511944
-200,1,3.514802
-199,2,3.51912
-199,2,3.523406
-200,1,3.526366
-200,1,3.529235
-198,3,3.535156
-196,5,3.544073
-198,3,3.550079
-200,1,3.552932
-199,2,3.558006
-200,1,3.561047
-199,2,3.565789
-200,1,3.568842
-199,2,3.573812
-200,1,3.576904
-200,1,3.579769
-199,2,3.584197
-200,1,3.587043
-198,3,3.592919
-198,3,3.598709
-197,4,3.606231
-200,1,3.60917
-200,1,3.612009
-200,1,3.614879
-200,1,3.618004
-200,1,3.62087
-198,3,3.626664
-200,1,3.629511
-200,1,3.632388
-200,1,3.635227
-199,2,3.63962
-200,1,3.64249
-200,1,3.645336
-198,3,3.651109
-196,5,3.659749
-198,3,3.665775
-199,2,3.67006
-200,1,3.672959
-200,1,3.675816
-200,1,3.678827
-200,1,3.681678
-200,1,3.684529
-198,3,3.690705
-199,2,3.695191
-199,2,3.699752
-200,1,3.702661
-200,1,3.705502
-198,3,3.71131
-200,1,3.714112
-200,1,3.717088
-200,1,3.719968
-200,1,3.722792
-199,2,3.727416
-200,1,3.730284
-199,2,3.735135
-196,5,3.744105
-199,2,3.748447
-200,1,3.751301
-200,1,3.754138
-199,2,3.758839
-199,2,3.763317
-199,2,3.767633
-200,1,3.770444
-197,4,3.777661
-200,1,3.780487
-200,1,3.783303
-197,4,3.790718
-197,4,3.798068
-200,1,3.801167
-200,1,3.804109
-199,2,3.808453
-200,1,3.811302
-199,2,3.81562
-200,1,3.818463
-200,1,3.82131
-200,1,3.824419
-196,5,3.833965
-199,2,3.838871
-200,1,3.841756
-200,1,3.844595
-197,4,3.856163
-200,1,3.859636
-200,1,3.863525
-200,1,3.866772
-200,1,3.869877
-200,1,3.874238
-200,1,3.877409
-198,3,3.885107
-197,4,3.895717
-199,2,3.901465
-200,1,3.905912
-199,2,3.911058
-200,1,3.914918
-200,1,3.918093
-199,2,3.924007
-198,3,3.931905
-200,1,3.936259
-200,1,3.939459
-198,3,3.947065
-198,3,3.95535
-200,1,3.958707
-199,2,3.964497
-200,1,3.968517
-196,5,3.9783
-198,3,3.985111
-200,1,3.988142
-200,1,3.991232
-194,7,4.003478
-197,4,4.010908
-200,1,4.013718
-200,1,4.016564
-192,9,4.031153
-200,1,4.034022
-200,1,4.03702
-200,1,4.039908
-198,3,4.045848
-199,2,4.050252
-199,2,4.054678
-200,1,4.057584
-200,1,4.060591
-198,3,4.066554
-200,1,4.069391
-200,1,4.072408
-192,9,4.088109
-198,3,4.094213
-197,4,4.101584
-199,2,4.106265
-197,4,4.114484
-200,1,4.117407
-199,2,4.123376
-200,1,4.126728
-199,2,4.146955
-200,1,4.158605
-200,1,4.163537
-200,1,4.166939
-200,1,4.171388
-200,1,4.175199
-200,1,4.179774
-200,1,4.182958
-199,2,4.190972
-200,1,4.19588
-199,2,4.201135
-200,1,4.204887
-199,2,4.211531
-200,1,4.214736
-198,3,4.22262
-199,2,4.230038
-199,2,4.236473
-200,1,4.239791
-200,1,4.244657
-199,2,4.250784
-200,1,4.253945
-200,1,4.257695
-196,5,4.270936
-200,1,4.274754
-199,2,4.279639
-199,2,4.284566
-199,2,4.289845
-200,1,4.293445
-198,3,4.300031
-200,1,4.303068
-199,2,4.308581
-200,1,4.311606
-196,5,4.320823
-200,1,4.324159
-200,1,4.327513
-200,1,4.330501
-199,2,4.33506
-195,6,4.346741
-199,2,4.352199
-200,1,4.355311
-199,2,4.359836
-198,3,4.365927
-200,1,4.368947
-199,2,4.373468
-200,1,4.376474
-198,3,4.382456
-200,1,4.386706
-199,2,4.391986
-200,1,4.396508
-200,1,4.399429
-200,1,4.403531
-198,3,4.410917
-199,2,4.416056
-198,3,4.423398
-198,3,4.432683
-197,4,4.442936
-200,1,4.446987
-200,1,4.451466
-199,2,4.456736
-200,1,4.462706
-200,1,4.470899
-198,3,4.480719
-199,2,4.487261
-199,2,4.495017
-199,2,4.501347
-196,5,4.515021
-200,1,4.518536
-199,2,4.525807
-200,1,4.531217
-200,1,4.53471
-199,2,4.541282
-200,1,4.547089
-198,3,4.555871
-200,1,4.560634
-200,1,4.564886
-193,8,4.583039
-200,1,4.586727
-200,1,4.589724
-198,3,4.598221
-200,1,4.601457
-199,2,4.606471
-200,1,4.611117
-200,1,4.614296
-200,1,4.617753
-200,1,4.620713
-199,2,4.626707
-200,1,4.629904
-197,4,4.638256
-199,2,4.643957
-197,4,4.652304
-200,1,4.655417
-199,2,4.661269
-195,6,4.673545
-200,1,4.678988
-200,1,4.684808
-200,1,4.692791
-200,1,4.705889
-200,1,4.712598
-200,1,4.723462
-196,5,4.736265
