,machine,reward,num_actions,max_RUL,slack,reward_estimate
0,1,-456,30,30,0,-15.2
1,2,-196,5,48,43,-4.08
2,3,45,45,125,80,0.36
3,4,-186,15,105,90,-1.77
4,5,-181,20,97,77,-1.87
5,6,-193,8,104,96,-1.86
6,7,-200,1,159,158,-1.26
7,8,-191,10,165,155,-1.16
8,9,-200,1,54,53,-3.7
9,10,-196,5,191,186,-1.03
10,11,-190,11,82,71,-2.32
11,12,-147,54,216,162,-0.68
12,13,-194,7,194,187,-1.0
13,14,233,34,45,11,5.18
14,15,-195,6,75,69,-2.6
15,16,66,66,112,46,0.59
16,17,-173,28,164,136,-1.05
17,18,-194,7,132,125,-1.47
18,19,49,49,134,85,0.37
19,20,63,63,183,120,0.34
20,21,-195,6,147,141,-1.33
21,22,-192,9,38,29,-5.05
22,23,-188,13,129,116,-1.46
23,24,-154,47,185,138,-0.83
24,25,32,32,47,15,0.68
25,26,-188,13,75,62,-2.51
26,27,-174,27,139,112,-1.25
27,28,61,61,157,96,0.39
28,29,-179,22,170,148,-1.05
29,30,-190,11,142,131,-1.34
30,31,-154,47,195,148,-0.79
31,32,-194,7,144,137,-1.35
32,33,-198,3,49,46,-4.04
33,34,-187,14,202,188,-0.93
34,35,-173,28,197,169,-0.88
35,36,-183,18,125,107,-1.46
36,37,-190,11,120,109,-1.58
37,38,46,46,124,78,0.37
38,39,19,19,36,17,0.53
39,40,-200,1,132,131,-1.52
40,41,-188,13,122,109,-1.54
41,42,-192,9,155,146,-1.24
42,43,-192,9,171,162,-1.12
43,44,-433,53,53,0,-8.17
44,45,-184,17,151,134,-1.22
45,46,-189,12,145,133,-1.3
46,47,48,48,72,24,0.67
47,48,-196,5,77,72,-2.55
48,49,-157,44,302,258,-0.52
49,50,-197,4,73,69,-2.7
50,51,63,63,143,80,0.44
51,52,-192,9,188,179,-1.02
52,53,-180,21,163,142,-1.1
53,54,-169,32,120,88,-1.41
54,55,-171,30,112,82,-1.53
55,56,-194,7,135,128,-1.44
56,57,59,59,159,100,0.37
57,58,58,58,175,117,0.33
58,59,-187,14,93,79,-2.01
59,60,-160,41,146,105,-1.1
60,61,-174,27,158,131,-1.1
61,62,-177,24,231,207,-0.77
62,63,94,94,154,60,0.61
63,64,59,59,167,108,0.35
64,65,-184,17,70,53,-2.63
65,66,-159,42,146,104,-1.09
66,67,-190,11,70,59,-2.71
67,68,-174,27,186,159,-0.94
68,69,-199,2,53,51,-3.75
69,70,-182,19,151,132,-1.21
70,71,-189,12,67,55,-2.82
71,72,-191,10,130,120,-1.47
72,73,-375,111,111,0,-3.38
73,74,-176,25,136,111,-1.29
74,75,-197,4,87,83,-2.26
75,76,-196,5,204,199,-0.96
76,77,-198,3,161,158,-1.23
77,78,-193,8,71,63,-2.72
78,79,-173,28,100,72,-1.73
79,80,-199,2,132,130,-1.51
80,81,-195,6,212,206,-0.92
81,82,53,53,161,108,0.33
82,83,-195,6,72,66,-2.71
83,84,64,64,171,107,0.37
84,85,232,33,33,0,7.03
85,86,60,60,109,49,0.55
86,87,-431,55,55,0,-7.84
87,88,40,40,67,27,0.6
88,89,-197,4,176,172,-1.12
89,90,-186,15,145,130,-1.28
90,91,-190,11,233,222,-0.82
91,92,-187,14,149,135,-1.26
92,93,-156,45,243,198,-0.64
93,94,-194,7,132,125,-1.47
94,95,61,61,88,27,0.69
95,96,292,93,96,3,3.04
96,97,-199,2,133,131,-1.5
97,98,-190,11,120,109,-1.58
98,99,-191,10,96,86,-1.99
99,100,-197,4,197,193,-1.0
100,101,180,180,257,77,0.7
101,102,-432,54,54,0,-8.0
102,103,54,54,164,110,0.33
103,104,-401,85,85,0,-4.72
104,105,89,89,147,58,0.61
105,106,-424,62,62,0,-6.84
106,107,-303,183,183,0,-1.66
107,108,75,75,172,97,0.44
108,109,70,70,160,90,0.44
109,110,-403,83,83,0,-4.86
110,111,61,61,161,100,0.38
111,112,-413,73,73,0,-5.66
112,113,362,163,163,0,2.22
113,114,-327,159,159,0,-2.06
114,115,-322,164,164,0,-1.96
