#{"t_start": 1643754310.58131, "env_id": null}
r,l,t
1,1,2.593354
2,2,2.598628
2,2,2.606996
1,1,2.611388
2,2,2.619566
3,3,2.627259
2,2,2.631794
1,1,2.636265
3,3,2.643882
1,1,2.647453
1,1,2.652621
3,3,2.658229
1,1,2.662142
3,3,2.670132
1,1,2.673301
2,2,2.677002
1,1,2.680665
2,2,2.685987
1,1,2.689055
3,3,2.693964
1,1,2.698236
1,1,2.703451
3,3,2.709366
2,2,2.714531
1,1,2.720111
1,1,2.724619
3,3,2.730678
2,2,2.735629
1,1,2.73981
1,1,2.743178
3,3,2.748278
2,2,2.753959
1,1,2.758242
1,1,2.762333
1,1,2.767137
4,4,2.77594
1,1,2.781377
1,1,2.787256
1,1,2.793016
1,1,2.797753
2,2,2.805337
3,3,2.811789
1,1,2.815341
6,6,2.825364
2,2,2.830239
3,3,2.83902
1,1,2.843894
1,1,2.847016
1,1,2.852534
1,1,2.85689
1,1,2.860216
1,1,2.86336
1,1,2.867483
2,2,2.873716
3,3,2.878481
1,1,2.882099
3,3,2.889704
2,2,2.893953
2,2,2.897794
2,2,2.902468
3,3,2.908618
3,3,2.914071
1,1,2.918628
3,3,2.924293
1,1,2.928234
3,3,2.935261
3,3,2.941079
1,1,2.944402
6,6,2.955116
1,1,2.958288
1,1,2.961254
3,3,2.966385
1,1,2.970749
1,1,2.974314
2,2,2.97808
2,2,2.981966
3,3,2.989407
1,1,2.993579
2,2,2.99762
4,4,3.004809
2,2,3.010229
1,1,3.013589
4,4,3.020525
2,2,3.024506
1,1,3.028728
2,2,3.034941
4,4,3.041442
1,1,3.044675
1,1,3.049872
1,1,3.053926
2,2,3.057998
2,2,3.061608
1,1,3.065298
2,2,3.070592
1,1,3.074004
2,2,3.077553
2,2,3.08243
1,1,3.086027
1,1,3.090604
2,2,3.094108
1,1,3.097678
2,2,3.103717
2,2,3.109133
1,1,3.112132
1,1,3.116569
4,4,3.1248
1,1,3.127997
1,1,3.130895
1,1,3.134889
2,2,3.140255
1,1,3.143488
2,2,3.147348
1,1,3.151642
1,1,3.155759
1,1,3.159205
6,6,3.167048
1,1,3.170982
2,2,3.176289
3,3,3.181028
4,4,3.187125
1,1,3.190859
1,1,3.194372
2,2,3.197965
3,3,3.203038
